Tamanio Imagen;Tamanio Mensaje;Marcos de Pagina;Tamanio de Pagina;Fallas de Pagina;% Fallas;Hits;% Hits;Tiempo
640;100;4;256;5;0,29%;1711;99,71%;50
640;100;4;512;3;0,17%;1713;99,83%;30
640;100;8;256;2;0,12%;1714;99,88%;20
640;100;8;512;0;0,00%;1716;100,00%;0
640;1000;4;256;31;0,18%;16985;99,82%;310
640;1000;4;512;18;0,11%;16998;99,89%;180
640;1000;8;256;33;0,19%;16983;99,81%;330
640;1000;8;512;16;0,09%;17000;99,91%;160
640;2000;4;256;70;0,21%;33946;99,79%;700
640;2000;4;512;38;0,11%;33978;99,89%;380
640;2000;8;256;79;0,23%;33937;99,77%;790
640;2000;8;512;40;0,12%;33976;99,88%;400
640;4000;4;256;158;0,23%;67858;99,77%;1581
640;4000;4;512;79;0,12%;67937;99,88%;791
640;4000;8;256;158;0,23%;67858;99,77%;1581
640;4000;8;512;79;0,12%;67937;99,88%;791
640;8000;4;256;315;0,23%;135701;99,77%;1141
640;8000;4;512;158;0,12%;135858;99,88%;1583
640;8000;8;256;315;0,23%;135701;99,77%;1141
640;8000;8;512;158;0,12%;135858;99,88%;1583
1280;100;4;256;6;0,35%;1710;99,65%;60
1280;100;4;512;4;0,23%;1712;99,77%;40
1280;100;8;256;4;0,23%;1712;99,77%;40
1280;100;8;512;2;0,12%;1714;99,88%;20
1280;1000;4;256;38;0,22%;16978;99,78%;380
1280;1000;4;512;18;0,11%;16998;99,89%;180
1280;1000;8;256;32;0,19%;16984;99,81%;320
1280;1000;8;512;16;0,09%;17000;99,91%;160
1280;2000;4;256;71;0,21%;33945;99,79%;710
1280;2000;4;512;38;0,11%;33978;99,89%;380
1280;2000;8;256;79;0,23%;33937;99,77%;790
1280;2000;8;512;40;0,12%;33976;99,88%;400
1280;4000;4;256;158;0,23%;67858;99,77%;1581
1280;4000;4;512;79;0,12%;67937;99,88%;791
1280;4000;8;256;158;0,23%;67858;99,77%;1581
1280;4000;8;512;79;0,12%;67937;99,88%;791
1280;8000;4;256;315;0,23%;135701;99,77%;1141
1280;8000;4;512;158;0,12%;135858;99,88%;1583
1280;8000;8;256;315;0,23%;135701;99,77%;1141
1280;8000;8;512;158;0,12%;135858;99,88%;1583
